,Item,Part,R/W,Category,Description,Data Type,Units,Min Value,Max Value
962,2097,250,R,Leaf Y2-01,Distance to target position.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
963,2098,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
964,2098,102,RW,Leaf Y2-01,The offset to be applied to the raw leaf position when converting to a real physical position.,signed 16-bit integer,pixel/10,2088.0,2008.0
965,2098,103,RW,Leaf Y2-01,The adjustment that needs to be applied to the Major Gain item 2005 part 103) to correct the positioning of the specific leaf.,signed 16-bit integer,gain,2088.0,2008.0
966,2098,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
967,2098,111,R,Leaf Y2-01,The position of the leaf after the Major and Minor offset have been applied to the raw value part 101).,signed 16-bit integer,pixel/10,0.0,7679.0
968,2098,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
969,2098,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
970,2098,114,R,Leaf Y2-01,Error/Warning flags active high): b0 - Out of position; b1 - Reflector not found,unsigned 8-bit integer,flags,0.0,255.0
971,2098,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
972,2098,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
973,2098,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
974,2098,176,R,Leaf Y2-01,Number of detected pixels in a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
975,2098,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
976,2098,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
977,2098,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
978,2098,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,pixel/10,0.0,7679.0
979,2098,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
980,2098,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
981,2098,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
982,2098,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
983,2098,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
984,2098,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
985,2098,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
986,2098,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
987,2098,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
988,2098,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
989,2098,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
990,2098,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
991,2098,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
992,2098,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
993,2098,250,R,Leaf Y2-01,Distance to target position.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
994,2099,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
995,2099,102,RW,Leaf Y2-01,The offset to be applied to the raw leaf position when converting to a real physical position.,signed 16-bit integer,pixel/10,2088.0,2008.0
996,2099,103,RW,Leaf Y2-01,The adjustment that needs to be applied to the Major Gain item 2005 part 103) to correct the positioning of the specific leaf.,signed 16-bit integer,gain,2088.0,2008.0
997,2099,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
998,2099,111,R,Leaf Y2-01,The position of the leaf after the Major and Minor offset have been applied to the raw value part 101).,signed 16-bit integer,pixel/10,0.0,7679.0
999,2099,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1000,2099,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1001,2099,114,R,Leaf Y2-01,Error/Warning flags active high): b0 - Out of position; b1 - Reflector not found,unsigned 8-bit integer,flags,0.0,255.0
1002,2099,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
1003,2099,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1004,2099,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
1005,2099,176,R,Leaf Y2-01,Number of detected pixels in a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1006,2099,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1007,2099,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1008,2099,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
1009,2099,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,pixel/10,0.0,7679.0
1010,2099,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1011,2099,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1012,2099,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1013,2099,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
1014,2099,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1015,2099,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1016,2099,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
1017,2099,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
1018,2099,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1019,2099,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1020,2099,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
1021,2099,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1022,2099,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1023,2099,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1024,2099,250,R,Leaf Y2-01,Distance to target position.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1025,2100,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
1026,2100,102,RW,Leaf Y2-01,The offset to be applied to the raw leaf position when converting to a real physical position.,signed 16-bit integer,pixel/10,2088.0,2008.0
1027,2100,103,RW,Leaf Y2-01,The adjustment that needs to be applied to the Major Gain item 2005 part 103) to correct the positioning of the specific leaf.,signed 16-bit integer,gain,2088.0,2008.0
1028,2100,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
1029,2100,111,R,Leaf Y2-01,The position of the leaf after the Major and Minor offset have been applied to the raw value part 101).,signed 16-bit integer,pixel/10,0.0,7679.0
1030,2100,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1031,2100,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1032,2100,114,R,Leaf Y2-01,Error/Warning flags active high): b0 - Out of position; b1 - Reflector not found,unsigned 8-bit integer,flags,0.0,255.0
1033,2100,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
1034,2100,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1035,2100,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
1036,2100,176,R,Leaf Y2-01,Number of detected pixels in a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1037,2100,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1038,2100,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1039,2100,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
1040,2100,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,pixel/10,0.0,7679.0
1041,2100,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1042,2100,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1043,2100,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1044,2100,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
1045,2100,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1046,2100,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1047,2100,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
1048,2100,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
1049,2100,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1050,2100,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1051,2100,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
1052,2100,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1053,2100,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1054,2100,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1055,2100,250,R,Leaf Y2-01,Distance to target position.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1056,2101,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
1057,2101,102,RW,Leaf Y2-01,The offset to be applied to the raw leaf position when converting to a real physical position.,signed 16-bit integer,pixel/10,2088.0,2008.0
1058,2101,103,RW,Leaf Y2-01,The adjustment that needs to be applied to the Major Gain item 2005 part 103) to correct the positioning of the specific leaf.,signed 16-bit integer,gain,2088.0,2008.0
1059,2101,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
1060,2101,111,R,Leaf Y2-01,The position of the leaf after the Major and Minor offset have been applied to the raw value part 101).,signed 16-bit integer,pixel/10,0.0,7679.0
1061,2101,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1062,2101,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1063,2101,114,R,Leaf Y2-01,Error/Warning flags active high): b0 - Out of position; b1 - Reflector not found,unsigned 8-bit integer,flags,0.0,255.0
1064,2101,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
1065,2101,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1066,2101,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
1067,2101,176,R,Leaf Y2-01,Number of detected pixels in a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1068,2101,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1069,2101,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1070,2101,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
1071,2101,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,pixel/10,0.0,7679.0
1072,2101,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1073,2101,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1074,2101,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1075,2101,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
1076,2101,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1077,2101,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1078,2101,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
1079,2101,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
1080,2101,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1081,2101,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1082,2101,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
1083,2101,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1084,2101,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1085,2101,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1086,2101,250,R,Leaf Y2-01,Distance to target position.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1087,2102,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
1088,2102,102,RW,Leaf Y2-01,The offset to be applied to the raw leaf position when converting to a real physical position.,signed 16-bit integer,pixel/10,2088.0,2008.0
1089,2102,103,RW,Leaf Y2-01,The adjustment that needs to be applied to the Major Gain item 2005 part 103) to correct the positioning of the specific leaf.,signed 16-bit integer,gain,2088.0,2008.0
1090,2102,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
1091,2102,111,R,Leaf Y2-01,The position of the leaf after the Major and Minor offset have been applied to the raw value part 101).,signed 16-bit integer,pixel/10,0.0,7679.0
1092,2102,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1093,2102,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1094,2102,114,R,Leaf Y2-01,Error/Warning flags active high): b0 - Out of position; b1 - Reflector not found,unsigned 8-bit integer,flags,0.0,255.0
1095,2102,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
1096,2102,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1097,2102,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
1098,2102,176,R,Leaf Y2-01,Number of detected pixels in a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1099,2102,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1100,2102,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1101,2102,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
1102,2102,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,pixel/10,0.0,7679.0
1103,2102,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1104,2102,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1105,2102,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1106,2102,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
1107,2102,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1108,2102,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1109,2102,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
1110,2102,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
1111,2102,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1112,2102,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1113,2102,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
1114,2102,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1115,2102,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1116,2102,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1117,2102,250,R,Leaf Y2-01,Distance to target position.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1118,2103,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
1119,2103,102,RW,Leaf Y2-01,The offset to be applied to the raw leaf position when converting to a real physical position.,signed 16-bit integer,pixel/10,2088.0,2008.0
1120,2103,103,RW,Leaf Y2-01,The adjustment that needs to be applied to the Major Gain item 2005 part 103) to correct the positioning of the specific leaf.,signed 16-bit integer,gain,2088.0,2008.0
1121,2103,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
1122,2103,111,R,Leaf Y2-01,The position of the leaf after the Major and Minor offset have been applied to the raw value part 101).,signed 16-bit integer,pixel/10,0.0,7679.0
1123,2103,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1124,2103,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1125,2103,114,R,Leaf Y2-01,Error/Warning flags active high): b0 - Out of position; b1 - Reflector not found,unsigned 8-bit integer,flags,0.0,255.0
1126,2103,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
1127,2103,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1128,2103,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
1129,2103,176,R,Leaf Y2-01,Number of detected pixels in a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1130,2103,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1131,2103,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1132,2103,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
1133,2103,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,pixel/10,0.0,7679.0
1134,2103,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1135,2103,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1136,2103,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1137,2103,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
1138,2103,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1139,2103,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1140,2103,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
1141,2103,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
1142,2103,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1143,2103,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1144,2103,219,R,Leaf Y2-01,Nominal calculated speed for dynamic moves.,signed 16-bit integer,10ths mms-1 at isocentre,-32768.0,32767.0
1145,2103,220,R,Leaf Y2-01,Current instantaneous positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1146,2103,223,R,Leaf Y2-01,Averaged positional error.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1147,2103,227,R,Leaf Y2-01,Current positional tolerance.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1148,2103,250,R,Leaf Y2-01,Distance to target position.,signed 16-bit integer,mm/10 at isocentre,-32768.0,32767.0
1149,2104,101,R,Leaf Y2-01,The position of the centre of the leaf reflector along its video line.,signed 16-bit integer,pixel/10,0.0,7679.0
1150,2104,102,RW,Leaf Y2-01,The offset to be applied to the raw leaf position when converting to a real physical position.,signed 16-bit integer,pixel/10,2088.0,2008.0
1151,2104,103,RW,Leaf Y2-01,The adjustment that needs to be applied to the Major Gain item 2005 part 103) to correct the positioning of the specific leaf.,signed 16-bit integer,gain,2088.0,2008.0
1152,2104,107,RW,Leaf Y2-01,Gain used to convert calculated demand to motor to actual demand.,signed 16-bit integer,gain expressed as ratio of 2048,-32768.0,32767.0
1153,2104,111,R,Leaf Y2-01,The position of the leaf after the Major and Minor offset have been applied to the raw value part 101).,signed 16-bit integer,pixel/10,0.0,7679.0
1154,2104,112,RW,Leaf Y2-01,Step start position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1155,2104,113,RW,Leaf Y2-01,Step stop position.,signed 16-bit integer,mm/10 at isocentre,-2565.0,1482.0
1156,2104,114,R,Leaf Y2-01,Error/Warning flags active high): b0 - Out of position; b1 - Reflector not found,unsigned 8-bit integer,flags,0.0,255.0
1157,2104,115,RW,Leaf Y2-01,Actual demand to motor.,signed 8-bit integer,motor demand,-128.0,127.0
1158,2104,129,R,Leaf Y2-01,The position of the leaf tip.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1159,2104,172,RW,Leaf Y2-01,Reflector width,unsigned 16-bit integer,pixel,1.0,50.0
1160,2104,176,R,Leaf Y2-01,Number of detected pixels in a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1161,2104,185,RW,Leaf Y2-01,Least-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1162,2104,186,RW,Leaf Y2-01,Most-significant WORD of leaf travel coarse.,unsigned 16-bit integer,cm at isocentre,0.0,65535.0
1163,2104,187,R,Leaf Y2-01,Leaf travel fine.,unsigned 16-bit integer,mm/10 at isocentre,0.0,100.0
1164,2104,195,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,pixel/10,0.0,7679.0
1165,2104,196,R,Leaf Y2-01,Leaf desired position.,signed 16-bit integer,mm/10 at isocentre,-1250.0,2000.0
1166,2104,197,RW,Leaf Y2-01,Least-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1167,2104,198,RW,Leaf Y2-01,Most-significant WORD of count of number of times motor has been energised,unsigned 16-bit integer,none,0.0,65535.0
1168,2104,200,RW,Leaf Y2-01,Count of the number of times the leaf reflector can't be found.,unsigned 16-bit integer,none,0.0,65535.0
1169,2104,201,RW,Leaf Y2-01,Minimum number of pixels that must be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1170,2104,202,RW,Leaf Y2-01,Maximum number of pixels that can be detected to identify a leaf reflector,unsigned 16-bit integer,pixel,0.0,65535.0
1171,2104,205,R,Leaf Y2-01,Records the magnitude of the lateral movement of the leaf.,signed 16-bit integer,mm/10 at isocentre,0.0,7679.0
1172,2104,215,RW,Leaf Y2-01,Count of the number of times the size of a leaf reflector is nearing its limit.,unsigned 16-bit integer,none,0.0,65535.0
1173,2104,216,R,Leaf Y2-01,Actual demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
1174,2104,218,R,Leaf Y2-01,Nominal calculated demand to motor.,signed 16-bit integer,motor demand,-32768.0,32767.0
