,Urgentie,Type,Machine,User,Storingsinfo,Status,Meldtijd,Lev.
,Acuut,Versneller,Linac4,JEK,Dosis FFF is te laag.,Dosiscontrole gedaan met elektrometer. Dosis right on target. Linacheck bijgeregeld.,16/11/2021,0
,Acuut,,Linac4,WAA,"Kv paneel deed het niet, daarna kreeg mosaiq geen verbinding meer, Linac opnieuw op moeten starten.",-,03/11/2021,0
,Preventief,versnellerkop,Linac4,BHL,Langdurende Agility problemen,"Vanwege langdurende problemen met leaves in de agility kop en de vaststelling van Jan van L. dat er extreem veel vet op de spindels zit, correctieve actie. In deze 1,5 dag zijn alle spindels gecontroleerd, gereinigd en indien nodig vervangen. In totaal zij",28/10/2021,1
,NietAcuut,Versneller,Linac2,HDV,vandaag al 10x dose rate mon --> reset required. Iedere keer bij het beginnen met stralen (1e veld na CBCT).,De bundel hebben we opnieuw afgeregeld ism Elekta. Probleem zou nu verholpen moeten zijn.,26/10/2021,0
,NietAcuut,Versneller,Linac2,HIZ,Storing met: Versneller,De bundel hebben we opnieuw afgeregeld ism Elekta. Probleem zou nu verholpen moeten zijn.,25/10/2021,0
,,,,,"3x Dose rate mon bij verschillende pt, na reset weer verder, treed op na slecht paar ME. Vandaag in totoaal 6x voorgekomen",,,
,NietAcuut,Versneller,Linac2,NIE,Storing met: Versneller,De bundel hebben we opnieuw afgeregeld ism Elekta. Probleem zou nu verholpen moeten zijn.,25/10/2021,0
,,,,,"Dose rate mon, na enkele ME Reset required, daarna gaat hij weer verder 3x vandaag",,,
,Acuut,,Linac4,WAA,Magnetron moet vervangen worden,-,20/10/2021,0
,Acuut,,Linac2,WAA,Thyratron heeft het begeven,-,20/10/2021,0
,Acuut,,Linac4,CLO,"Linac was niet afgesloten dag te voren, dus was ook niet goed opgestart",-,15/10/2021,0
,NietAcuut,Versneller,Linac4,MAP,"Bij het afsluiten van de versneller, konden we de leaves niet `parkeren`. Uiteindelijk na 3x reset en tussendoor omkleden toch nog gelukt.",-,13/10/2021,0
,Acuut,,Linac1,BHL,DLG Watchdog/DLG 24V melding. Power cycle van Agility kop is niet afdoende. Reboot van Systeem,"PCB ASSY DLG Vervangen, hierop was duidelijk te zien dat de drive-aansturing doorgebrand was. Tevens as van DLG rem Y2 recht gebogen en vet op DLG spindels vervangen (oud, kleverig en dik)",13/10/2021,0
,NietAcuut,Versneller,Linac4,WAA,Low water Pressure,"Gebeurd regelmatig. (1x in de week) Het probleem kan in 1 minuut opgelost worden, maar pressure daalt relatief snel. Drukvaten zijn binnen, de oude kunnen vervangen worden wanneer we tijd hebben op de linacs",11/10/2021,0
,NietAcuut,,Linac1,SLE,"Storing met versneller: Hump error, na reset weer verder",-,07/10/2021,0
,Acuut,,Linac4,WAA,Keys en Spindeltjes vervangen.,-,01/10/2021,0
,NietAcuut,Tafel,Linac4,TJJ,Storing met: Versneller,"KFM kijkt hier op 6 oktober naar tijdens groot onderhoud. Mogelijk dat de aandrijfmotor vervangen moet worden. Motor moet vervangen worden, echter is niet op voorraad. Zodra deze op voorraad is vervangen we hem. Indien probleem zeer frequent voorkomt, g",01/10/2021,1
,,,,,"Aantal keren gehad dat wanneer de tafel met tafelbediening omhoog gedaan wordt, deze vast loopt. Er is dan een reset nodig om de tafel weer te kunnen bewegen. Ook hapert de tafel met omhoog gaan wanneer je dit met de afstandsbediening doet.",,,
,Acuut,,Linac4,BHL,"Melding ""Terminated2TCtrlAlarm""",Intermiterende storing. Uitgebreid gekeken naar flatness en symetrie. Geen verklaring kunnen vinden. Teruggegeven aan kliniek voor testen.,01/10/2021,0
,Acuut,,Linac2,BHL,Leaf Y2-38 blijft staan.,Storing opgelost.,30/09/2021,0
,NietAcuut,Versneller,Linac1,PDB,Storing met: Versneller,-,28/09/2021,0
,,,,,Low water pressure,,,
,NietAcuut,Versneller,Linac3,HIZ,Storing met: Versneller,-,23/09/2021,0
,,,,,"terminationfault, gas press => reset required",,,
,Acuut,versnellerkop,Linac4,BHL,Terminated2TCtrlAlarm meldingen,Melding komt waarschijnlijk omdat leaves niet snel genoeg op hun positie komen. Diagnostics uitgevoerd voor Agility kop. Problemen met leaves: Y1 25 35 Y2 4 5 8 15 16 17 23 31 36 37,23/09/2021,0
,NietAcuut,Versneller,Linac4,HIZ,Storing met: Versneller,-,23/09/2021,0
,,,,,2T I contr => reset required,,,
,NietAcuut,XVI,Linac4,HIZ,Storing met: XVI,-,23/09/2021,0
,,,,,automated linac asu => opnieuw xvi opgestart,,,
,NietAcuut,,Linac1,WAA,Water Pressure,-,20/09/2021,0
,NietAcuut,Mosaiq,Linac4,HIZ,Storing met: Mosaiq,-,20/09/2021,0
,,,,,2x termination gehad: 1x iets met segment niet goed => reset required 1x D2rly off => reset required,,,
,NietAcuut,,Linac4,WAA,Water Pressure,-,20/09/2021,0
,Acuut,,Linac4,WAA,Gantry 2 demand,-,20/09/2021,0
,Acuut,versnellerkop,Linac4,BHL,Leaf 12 Y1 beweegt niet,-,14/09/2021,0
,NietAcuut,,Linac1,AFR,Storing met: Versneller,-,14/09/2021,0
,,,,,lp ph.posn,,,
,NietAcuut,versnellerkop,Linac4,HIZ,Storing met: Versneller,-,14/09/2021,0
,,,,,"Acute storing, inmiddels verholpen",,,
,NietAcuut,Versneller,Linac4,HIZ,Storing met: Versneller,-,14/09/2021,0
,,,,,2T I ctrl=>reset required,,,
,Acuut,,Linac4,KIC,Segment error. Laatste 2 ME niet afgestraald bij 6MV FFF,-,13/09/2021,0
,NietAcuut,,Linac2,BBC,Correctie (XVI > MQ) hapert bij uitvoering (meerdere keren knoppen indrukken) en wordt vervolgens helemaal niet meer uitgevoerd (hoogte) waarop er in de bunker handmatig met de knoppen van de tafel (hoogte) de correctie uitgevoerd moet worden. Tweede keer in twee dagen. mw. Tabak,-,31/08/2021,0
,NietAcuut,,Linac1,KIC,tafel hapert soms bij stijgen of laten zakken,-,23/08/2021,0
,Acuut,,Linac1,WAA,Versneller begint niet met stralen,-,13/08/2021,0
,Acuut,versnellerkop,Linac4,WAA,Leaf vast.,-,05/08/2021,0
,Acuut,,Linac1,WAA,Segment error bij long stereo patient,"In onderzoek. Lijkt erop dat het komt doordat dose channel 2 voorloopt. Deze slag af bij gantry hoek van 180 graden, waardoor de versneller de andere kant wou op draaien. Komende pauze dose channel 2 bij stellen.",04/08/2021,0
,NietAcuut,Overig,Linac2,BBC,Storing met: Overig,-,03/08/2021,0
,,,,,Intercom kraakt --> draadbreuk bij stiftstreep,,,
,NietAcuut,Versneller,Linac2,BBC,Storing met: Versneller,-,03/08/2021,0
,,,,,"Al langere tijd hapering bij uitvoering verschuiving XVI > MQ. Tafel neemt rustpauzes (voor Erik, COPD patiënt die marathon probeert te lopen)",,,
,NietAcuut,Versneller,Linac4,PDB,Storing met: Versneller,-,03/08/2021,0
,,,,,Dose rate monitor 2 x,,,
,NietAcuut,XVI,Linac3,HIZ,Storing met: Versneller,Actie bij volgend onderhoud. Waarschijnlijk de contragewicht in XVI paneel je bonkjes veroorzaakt. Bij volgende onderhoud hem in smeren zodat ie soepeler loopt.,02/08/2021,0
,,Versneller,,,Bij het draaien van de gantry hebben we meerdere keren een harde tik gehoord bij een hoek van ongeveer 85 graden.,,,
,Acuut,Overig,Linac1,erik,Watertemp (leek op magnatron V mon) (bleek koeling van BAM te zijn),-,02/08/2021,0
,Preventief,,Linac2,hdl,CBCT valt er 2x uit bij een patient. 1e keer was applicatie XVI compleet gecrashed.,1e: image missing 2e: kV enabled dropped generator reset gedaan,22/07/2021,0
,Acuut,,Linac1,WAA,+15 V -15 V +5 V ref foutmelding.,-,19/07/2021,0
,Preventief,LCS,Linac2,WAA,DLG remmen kwamen niet door diagnostics en MLC calibratie heen. Beide remmen vervangen.,-,15/07/2021,0
,,versnellerkop,,,,,,
,Lange termijn,,Linac2,CLO,Bij sommige patiÃ«nten werkt ASU in bediening ruimte niet goed en op de handheld controls wel. Gaat om: 2000187318 en 2000042505,-,12/07/2021,0
,Preventief,Tafel,Linac1,hdl,"Linac slaat af, table long","stekkers in eim en tafel gerommeld, LTU vervangen, Long potmeters vervangen. LCU en AI12/SCC, aardmetingen. UPS modificatie omdat het na een koude restart vreemd uitziet.",08/07/2021,1
,Acuut,Versneller,Linac1,erik,Luchtdruk sensor 1 van Dosis systeem linac geeft foute waardes.,-,05/07/2021,1
,Acuut,,Linac1,BHL,Pressure sensor 2 melding,-,05/07/2021,0
,NietAcuut,Versneller,Linac2,JEK,Storing met: Versneller,-,02/07/2021,0
,,,,,D2rly.off melding tijdens FFF-stereo bestraling,,,
,Acuut,,Linac4,GHJ,"Reset required, bij mama patiënt",-,22/06/2021,0
,NietAcuut,Mosaiq,Linac1,ANB,"Storing met: Versneller, Mosaiq",-,18/06/2021,0
,,Versneller,,,Machine communications time out en iCom client disconnect,,,
,NietAcuut,,Linac4,SLE,Dose rate mon. Na reset weer verder,-,18/06/2021,0
,NietAcuut,,Linac4,SLE,Dose rate mon. Na reset weer verder,-,18/06/2021,0
,Preventief,,Linac1,erik,Kopcamera afstellen zodat het metalen gedeelte van de tafel zichtbaar is op het beeld.,-,16/06/2021,0
,NietAcuut,Versneller,Linac2,HIZ,Storing met: Versneller,-,31/05/2021,0
,,,,,"reset required inmiddels 5x in ieder geval 2x ""dos rate mon""",,,
,In Pauze,,Linac1,ANR,het vervangen van de conebeam collimator (M20 S20) gaat heel stroef,-,27/05/2021,0
,Acuut,,Linac2,BHL,XVI valt uit en volgende XVI gaat erg traag/maakt vreemde geluiden.,-,26/05/2021,0
,NietAcuut,Versneller,Linac4,HIZ,Storing met: Versneller,-,25/05/2021,0
,,,,,Het wisselen van het filter gaat zwaar,,,
,Acuut,Tafel,Linac3,WAA,Tafelbewegingen doet het niet,-,19/05/2021,0
,Acuut,LCS,Linac4,WAA,MLC calibratie gegevens niet kunnen laden,-,19/05/2021,0
,NietAcuut,,Linac2,SLE,"Storing met versneller: MLC not ready, (x1 leaf wilde niet naar zijn start positie)",-,18/05/2021,0
,Acuut,versnellerkop,Linac2,hdl,"Leaf movement error, reset required",-,18/05/2021,0
,NietAcuut,,Linac2,SLE,Storing met versneller: Bij twee patienten achter elkaar `Dose Rate Mon` reset required. Na reset weer verder.,-,18/05/2021,0
,NietAcuut,,Linac3,WAA,Task1 op iView wordt niet automatisch uitgevoerd,-,12/05/2021,0
,Lange termijn,,Linac3,WAA,Backup weer niet gedraaid op de versneller. Start niet automatisch op,-,12/05/2021,0
,Acuut,,Linac4,WAA,Geen licentie voor mosaiq,-,30/04/2021,0
,Acuut,,Linac2,WAA,Y1 Bank leaves zitten om en om vast,-,29/04/2021,0
,NietAcuut,Software,Linac3,WAA,Back ups and DB Integrity Checks waren niet uitgevoerd.,-,26/04/2021,0
,Acuut,,Linac1,WAA,iCom verbinding liep niet,-,26/04/2021,0
,Acuut,Versneller,Linac4,BHL,Tijdens bestralen patient met 9MeV melding van Target Check.,-,20/04/2021,0
,Acuut,Versneller,Linac1,BHL,Versneller viel uit en startte automatisch weer,-,16/04/2021,0
,Preventief,Versneller,Linac3,hdl,"Linac was niet opgestart, backups waren niet gedaan. Probleem is er de hele week al.",-,15/04/2021,0
,Preventief,,Linac1,hdl,kV panel stopt ongewenst tussendoor als je tussen M en S schuift,-,15/04/2021,0
,In Pauze,,Linac2,hdl,Machine slaat 0.3-0.5ME te vroeg af bij 9MeV electronen,-,15/04/2021,0
,NietAcuut,Versneller,Linac1,BBC,Storing met: Versneller,-,13/04/2021,0
,,XVI,,,CBCT valt steeds uit kV enabled dropped,,,
,NietAcuut,XVI,Linac4,GEE,Storing met: XVI,-,13/04/2021,0
,,,,,paneel schuift zwaar in.,,,
,NietAcuut,Versneller,Linac4,GEE,Storing met: Versneller,-,13/04/2021,0
,,,,,Tafel gaat haperend omhoog. bij het vasthouden van de knop stopt hij soms,,,
,Preventief,,Linac1,hdl,Er rolt iets rond door de CBCT behuizing,-,06/04/2021,0
,NietAcuut,XVI,Linac1,HDV,Storing met: XVI,-,02/04/2021,0
,,,,,Scan terminated. kV enable dropped.,,,
,NietAcuut,Versneller,Linac1,JOM,Storing met: Versneller,-,29/03/2021,0
,,,,,"17.48 terminated, check fail HTI",,,
,NietAcuut,Versneller,Linac1,BBC,Storing met: Versneller,-,29/03/2021,0
,,,,,Gas Press.... bijvullen/vervangen?,,,
,Lange termijn,,Linac4,KSS,"Intercom kraakt, piept en ruist. Bij optillen stoort het signaal.",-,26/03/2021,0
,Preventief,versnellerkop,Linac1,BHL,Kop geeft kreunend geluid bij bewegen DLG`s,DLG remmen vervangen door GEREVISEERDE remmen. Dit is een test om te kijken hoe goed dit gaat.,24/03/2021,0
,NietAcuut,Versneller,Linac4,LEV,Storing met: Versneller,-,16/03/2021,0
,,,,,op 160 graden stoppen de motors waarna de tafel en de gantry niet meer reageren bij het gebruiken van de handbediening. Vanuit de bedieningsruimte is hierna een reset nodig. Dit gebeurde tijdens het laten zakken van de tafel om de patiënt af te laten stap,,,
,NietAcuut,,Linac4,WAA,CBCT stop de scan bij interrupt (ivm Breathhold) en kan daarna niet verder. Na XVI-pc reboot lukt het wel.,-,04/03/2021,0
,Preventief,versnellerkop,Linac3,BHL,Linac maakt veel lawaai in agility kop,Opgelost,24/02/2021,0
,NietAcuut,,Linac3,INB,2x dose mon rate + reset required,-,22/02/2021,0
,NietAcuut,Versneller,Linac4,ANB,Storing met: Versneller,-,19/02/2021,0
,,,,,Tafelrotatie middels handbediening aan de tafel werkt niet. Moeten tafelrotatie doen doen door de tafel los te zetten. Vanuit bedieningsruimte kunnen we wel met de knoppen tafelrotatie uitvoeren.,,,
,Acuut,,Linac4,SLE,"Storing/melding met XVI (meerdere keren in de ochtend): Ã‡onnection to remote DICOM application failed. Server ""...."" rejected our association. Na herstarten XVI, geen meer meldingen gehad",-,19/02/2021,0
,NietAcuut,XVI,Linac1,HIZ,Storing met: XVI,-,19/02/2021,0
,,,,,"2x melding : Connection to remote DICOM application failed. Sever """"IMPAC-DCM-SCP"""" rejected our association ==> aantal keren retry",,,
,Acuut,versnellerkop,Linac2,BHL,Tijdens bestraling patient MLC probleem.,-,17/02/2021,0
,NietAcuut,,Linac3,SLE,"MLC not ready midden bestralingsveld, Radiation On heel eventjes (zonder rotatie gantry), na paar seconden veld abrupt gestopt. Na reset weer verder gegaan",-,17/02/2021,0
,NietAcuut,,Linac3,SLE,"Storing met versneller: Bestralingsveld abrupt gestopt, na reset weer verder.",-,16/02/2021,0
,NietAcuut,Mosaiq,Linac3,HIZ,Storing met: Mosaiq,-,16/02/2021,0
,,,,,"communicatie error, tijdens bestraling waardoor ME`s deels niet werden geregistreerd. Na afloop ME`s gecontroleerd en alsnog geregistreerd.",,,
,NietAcuut,Versneller,Linac3,HIZ,Storing met: Versneller,-,16/02/2021,0
,,,,,"tafelstoring,reset niet weg te klikkenBas gebeld",,,
,NietAcuut,,CT-SIM,SLE,"De aansluiting van de CT-sim camera werkt niet goed, het importeren van fotos gaat moeizaam.",HdL: Nieuwe camera is besteld via Jos,12/02/2021,0
,NietAcuut,XVI,Linac1,HIZ,Storing met: XVI,Script van EvdB moet gaan draaien. Tijdelijk nu files van D naar C gezet TEMP_D_schijfDump,12/02/2021,0
,,,,,"There is not sufficient space on the disk. D; has 154927104 bytes available, but 274515486 bytes are necessary.",,,
,NietAcuut,XVI,Linac2,PDB,Storing met: XVI,-,11/02/2021,0
,,,,,Bij het uitschuiven van het paneel halverwege stop en geluidssignaal. Nogmaals gedaan en het paneel van S naar M geschoven. Weer stop halverwege maar nu geen geluidssignaal. Daarna verder uit kunnen schuiven.,,,
,Acuut,Versneller,Linac3,AVN,"Storing met: Versneller, Iview",-,08/02/2021,0
,,Iview,,,"tijdens draaien van CBCT begint Iview panel te piepen, touchquard wil er niet uit Panel zat tussen inklappen en horizontaal in.",,,
,Acuut,versnellerkop,Linac4,AVN,Storing met: Versneller,-,08/02/2021,0
,,Versneller,,,leaf move error Leaf Collision Y1 58 en ook in Y2,,,
,Preventief,versnellerkop,Linac2,BHL,Tijdens agility calibratie melding: Calibration failed. Error: Samples not correctly collected Agility diagnostics gaf probleem met Coarse/Check Y2 op DLG intermediate PCB aan.,-,27/01/2021,0
,NietAcuut,Versneller,Linac2,MKO,Storing met: Versneller,-,22/01/2021,0
,,,,,"iCom client disconnected, downtime 25 min",,,
,NietAcuut,XVI,Linac2,HDV,"XVI paneel doet niks meer. EvdB erbij gehad. Ward: Jeroen heeft kabelbreuk gevonden bij XVI paneel, mogelijke verklaring.",-,19/01/2021,0
,Acuut,,Linac1,hdl,Linac start niet door: Gantry demand 2 error,-,15/01/2021,0
,NietAcuut,,CT-SIM,KIC,Gantry van de CT gaat plotseling uit tijdens het maken van de scan. Sleuteltje omgedraaid en lijkt het wel weer te doen,-,13/01/2021,0
,Acuut,,Linac4,gerard,Versneller niet opgestart,-,13/01/2021,0
,Acuut,,Linac2,CLO,Linac 2 was tussen patienten door uitgevallen. Gaf melding: CON A en pomp was stil. Alleen linac opnieuw opgestart en alles werkte weer.,-,04/01/2021,0
,NietAcuut,Overig,Linac1,MVS,Storing met: Overig,-,28/12/2020,0
,,,,,interlock lijkt aan vervanging toe,,,
,NietAcuut,Versneller,Linac4,PDB,Storing met: Versneller,-,22/12/2020,0
,,,,,2T1 CRTL 11.28 en 223º,,,
,Acuut,XVI,Linac3,GDJ,Tijdens XVI scan loopt systeem vast.,"Logfiles bekeken, spontane reboot dus geen info m.b.t wat er misging.",14/12/2020,0
,NietAcuut,,Linac1,WAA,Kopcamera ziet niet of de kop onder de tafel door gaat/kan.,-,11/12/2020,0
,NietAcuut,Versneller,Linac1,PDB,Storing met: Versneller,-,08/12/2020,0
,,,,,Hump error om 15.30 reset required,,,
,NietAcuut,Overig,Linac1,PDB,Storing met: Overig,-,07/12/2020,0
,,,,,Kopcamera is sinds vrijdag 4-12 vanaf 12.00 stuk,,,
,In Pauze,Versneller,Linac2,BBC,"XVI paneel draait zeer zwaar lateraal, en stopt.",-,01/12/2020,0
,,XVI,,,,,,
,Acuut,,Linac1,BHL,Tijdens bestraling valt systeem plotseling uit.,Bij aankomst melding Mag Fil I. Systeem gaf geen gehoor aan verzoek tot wijziging staat versneller. Linac herstart. Bij starten straling kwam deze niet goed in. Gun stromen bijgeregeld. 6MV GUN I Ctrl 7.71 -> 7.65 GUN Aim 7.74 -> 7.69 10MV,30/11/2020,0
,In Pauze,XVI,Linac1,CLO,"XVI storing, is 4 keer uitgevallen deze ochtend, kV enabled dropped","BHL Onderzoek in logfiles gedaan. Op volgende tijdstippen melding ""KV source arm"" 30-11 10:36:58 hoek -48 10:22:45 hoek -52 9:16:32 hoek -154 8:08:43 hoek -80 27-11 10:09:17 hoek -62 9:08:05 hoek -130 8:55:11 hoek -6 8:23:46 hoek 60 25-1",30/11/2020,0
,Acuut,XVI,Linac4,CLO,"XVI communicatie fout, paneel wilt niet op S, M of L komen",-,23/11/2020,0
,NietAcuut,,Linac3,KSS,"Communications timeout. Veld werd door linac volledig afgestraald, laatste 50me niet geregistreerd door MQ",-,20/11/2020,0
,Acuut,,Linac1,GHJ,CBCT klaar XVI schakelt zichzelf uit ____ Kunnen opnieuw beginnen,-,16/11/2020,0
,NietAcuut,XVI,Linac4,MVS,Storing met: XVI,-,06/11/2020,0
,,,,,Bij het maken een CBCT valt de CBCT uit. Na afsluiten CBCT geeft XVI een storing: Automated ASU en moet XVI en Mosaiq opnieuw voorgezet worden. Downtime: ongeveer 4 minuten.,,,
,Preventief,,Linac1,hdl,Low water pressure. 10. bijgevuld,-,03/11/2020,0
,Acuut,Overig,Linac4,BHL,"Bedieningsscherm Mosaiq werkt niet, is zwart",Opgelost,23/10/2020,0
,Acuut,Versneller,Linac3,BHL,Tijdens het tafel omhoog doen. raakte angstige patient touchguard. Hierdoor viel machine terug in Closed State.,-,22/10/2020,0
,Lange termijn,,Linac2,HDV,"VMAT: als gantry bij ongeveer 40 graden komt laat deze een harde ""piep"" horen. Alsof gantry gesmeerd moet worden.",-,21/10/2020,0
,Acuut,,Linac4,GHJ,elektronen tubus vergrendelt niet aan kop versneller. elektronenen performance hierdoor uitgesloten.,-,14/10/2020,0
,Acuut,XVI,Linac3,CLO,KV enabled dropped en IO-error in XVI-software.,"XVI lijkt elke maandag ochtend dit te hebben, dus vragen aan Elekta de XVI pc te fixen.",12/10/2020,0
,NietAcuut,Overig,Linac2,JAH,Storing met: Overig,-,12/10/2020,0
,,,,,"Printer smeert enorm, strepen over de pagina`s.",,,
,Acuut,Versneller,Linac3,WAA,Thy grid.,"Thyratron stuk, wachten op nieuwe thyratron",07/10/2020,0
,NietAcuut,Versneller,Linac1,HIZ,Storing met: Versneller,-,01/10/2020,0
,,,,,Dose rate mon => reset required,,,
,Acuut,KVMsysteem,Linac1,WAA,"""Integrity not ready"" en muizen van extra werkstation en Sequencer deden het niet.","Algemene blackbox uit en aan gezet, intgerity melding verdween ook met deze actie",30/09/2020,0
,NietAcuut,Versneller,Linac1,INB,Storing met: Versneller,-,29/09/2020,0
,,,,,Versneller viel uit naar closed.,,,
,Acuut,Overig,Linac2,BHL,"Tijdens opstarten van de Linac was de dosis te hoog, volgens Kasper 5%. Later corrigeerde hij dit naar 2,5%. Dosimetrische controle gedaan en dosis was 0,2 - 0,3% te hoog. Echter LinaCheck gaf bij 6MV 1,026 en bij 10MV 0,966.",-,28/09/2020,0
,NietAcuut,Versneller,Linac4,JAH,Storing met: Versneller,-,25/09/2020,0
,,,,,"foutmelding uniformity oid, reset required bij een Vmat veld FFF",,,
,Acuut,XVI,Linac3,WAA,"XVI crasht tijdens ochtendcontrole tijdens het scannen van de mimi. ""Serious error occured"". Fout herhaalt totdat PC opnieuw is opgestart.",-,25/09/2020,0
,Acuut,XVI,Linac4,WAA,XVI paneel kon niet bediend worden met de controller,-,24/09/2020,0
,Acuut,Iview,Linac1,WAA,iView-paneel niet te bedienen met de controller,-,24/09/2020,0
,Acuut,XVI,Linac4,WAA,XVI-paneel zat vast,-,22/09/2020,0
,Acuut,XVI,Linac1,WAA,XVI-PC Bsod,-,22/09/2020,0
,Acuut,XVI,Linac3,CLO,Ochtend controle: Eerste keer bij XVI Kv enabled dropped Tweede keer unabled to write Derde keer XVI programma verdween Daarna XVI pc opnieuw opgestart en alles werkte weer,-,14/09/2020,0
,NietAcuut,Mosaiq,Linac2,HIZ,Storing met: Mosaiq,-,14/09/2020,0
,,,,,Muis binnen bunker wel te zien maar niet te bedienen=> storingstelefoon,,,
,NietAcuut,XVI,Linac2,HIZ,Storing met: XVI,-,14/09/2020,0
,,,,,Melding : Gantry node => opnieuw opgestart en toen ok,,,
,NietAcuut,Iview,Linac2,HIZ,Storing met: Iview,-,14/09/2020,0
,,,,,"bij opstarten melding: Eltec amorphous silicon digitizer error: library error3, board error -1 => opnieuw opgestart daarna ok",,,
,NietAcuut,Tafel,Linac1,WAA,Tafel kon niet bewogen worden. Verholpen met reset knop/motors. Geen foutmelding naar voren gekomen,-,09/09/2020,0
,Acuut,KVMsysteem,Linac1,WAA,Alle muizen deden het niet.,-,08/09/2020,0
,NietAcuut,XVI,Linac3,EMS,Storing met: XVI,-,02/09/2020,0
,,,,,"xvi stopped working, halverwege de scan, programma valt uit.",,,
,NietAcuut,KVMsysteem,Linac2,WAA,KVM L2 in de bunker deed het niet.,-,25/08/2020,0
,Acuut,Tafel,Linac1,CLO,"Table clutch, Ã©Ã©n knop deed het niet.",-,24/08/2020,0
,Acuut,,Linac3,CLO,"KV enabled dropped, XVI- softwaren, paneel en generator opnieuw opgestart",-,24/08/2020,0
,Acuut,,Linac2,gerard,Tafel long rem piept,-,21/08/2020,0
,Preventief,,Linac4,GHJ,"M15 filter wordt niet goed gedetecteerd, paar keer in en uit schuiven voordat contact er is",-,18/08/2020,0
,NietAcuut,Versneller,Linac4,INB,Storing met: Versneller,-,18/08/2020,0
,,,,,Bedieningspaneel van de tafel is lam.,,,
,Acuut,,CT-SIM,gerard,kamer achterwand doet het niet.,-,14/08/2020,0
,Acuut,,CT-SIM,gerard,Kan niet inloggen op RTct omdat password is verlopen. Opgelost door ICT deze wachtwoorden mogen niet verlopen.,-,14/08/2020,0
,NietAcuut,KVMsysteem,Linac2,WAA,KVM kast in de bunker moest gereset worden. vervanging kastje bood geen soelaas,-,14/08/2020,0
,NietAcuut,XVI,Linac3,KYB,Storing met: XVI,-,13/08/2020,0
,,,,,"XVI geeft na CBCT match melding: ""connection to remote DICOM application failed. Server """"IMPAC_DCM_SCP"""" rejected our association""",,,
,Acuut,,Linac4,WAA,XVI Panel kon niet verschoven worden,Paneel schakelaar uit en aan gedaan. Heeft dit verband met Touchguard interrupts?,12/08/2020,0
,NietAcuut,,Linac4,WAA,Interrupts worden gegeven,-,12/08/2020,0
,NietAcuut,KVMsysteem,Linac2,WAA,KVM L2 in de bunker,KVM Blackbox vervangen met een nieuw ongebruikte blackbox,11/08/2020,0
,NietAcuut,KVMsysteem,Linac2,WAA,Muis in bunker doet het niet.,KVM in bunker uit en aan gedaan,10/08/2020,0
,Acuut,,Linac4,WAA,Touchguard melding rond 63°,"Versneller 3x opnieuw opgestart. misschien EIM firmware probleem. Treedt het nog een keer op, LSU vervangen",10/08/2020,0
,NietAcuut,,Linac4,WAA,kV Enable Dropped. Kon wel gewoon gestraald worden,Linac Reboot uitgevoerd,10/08/2020,0
,Acuut,,Linac1,WAA,Facility state 1 en Table Clutch,"Reset gegeven en geforceerd naar prep in service mode. Alle potmeters in de tafel vervangen, gelearned en gecalibreerd.",10/08/2020,0
,Acuut,,Linac4,WAA,EIM UPS error. bleef door piepen wanneer tafel stil stond,"EIM uitgezet, UPS uitgezet, UPS aangezet, EIM aangezet. Doet het nu weer.",07/08/2020,0
,Acuut,,Linac1,WAA,facility 1 en table clutch. Nu ook de melding Table height servo.,Reset in service mode moeten geven. EIM uit/aan werkte niet.,07/08/2020,0
,Acuut,,Linac1,WAA,Table clutch en facility one state,EIM uit en aan werkte niet. Heb een reset gegeven in service. Oorzaak van het probleem onbekend,06/08/2020,0
,NietAcuut,KVMsysteem,Linac2,PDB,Storing met: Toetsenbord/muis,-,06/08/2020,0
,,,,,muis doet het niet in de bestralingsruimte,,,
,Preventief,Versneller,Linac1,hdl,"Table clutch en facility one state tijdens D4 meting, meerdere keren. Eim zegt dan Demand Stuck op de Z. Een paar resets in service en op de EIM was nu de fix.",potmeters zaten allemaal nog goed vast. table height opnieuw gelearned. Bij snel naar boven komt er ook steeds Table height in beeld. verdwijnt weer als de tafel stopt. Spanningsdaling op de 5V?,04/08/2020,0
,,Tafel,,,,,,
,NietAcuut,,Linac2,SLE,Storing met versneller: `2T Err`. Na reset konden we door.,-,04/08/2020,0
,Acuut,,Linac4,WAA,kv Enable dropped. Gebeurde 2x op dezelfde hoek (20 graden) tijdens de CBCT.,"Alle touchguards een keer ingedruk, nu in afwachting",04/08/2020,0
,Acuut,,Linac4,WAA,XVI paneel wil niet uitklappen,-,31/07/2020,0
,NietAcuut,,Linac1,SLE,Storing met versneller: Dose Rate Mon. Reset gegeven.,-,31/07/2020,0
,NietAcuut,,Linac1,SLE,Storing met versneller: Facility 1 state om 10.43 uur en een keer eerder in de ochtend ook,-,31/07/2020,0
,NietAcuut,Overig,Linac4,WAA,Cameras kunnen niet bediend worden,-,31/07/2020,0
,NietAcuut,Versneller,Linac4,BBC,Storing met: Versneller,-,27/07/2020,0
,,,,,Interrupted ready bij VMAT zonder gebruik van de Interrupt-knop: 165 graden,,,
,Acuut,,Linac1,gerard,Table clutch en facility one state tijdens D4 meting,-,24/07/2020,0
,NietAcuut,,Linac2,WAA,Kopcamera is niet scherp.,-,22/07/2020,0
,NietAcuut,Overig,Linac4,WAA,Groen licht van de stoplicht is kapot,-,22/07/2020,0
