Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
i145 - Table lateral position check monitor,Lat. chk,The monitor item of the Precise Table lateral movement check potentiometer voltage.,Real,-26.00 cm to +26.00 cm,0.01 cm,cm,Edit Machine Item Part,Precise Table,Not available
i146 - Table height position check monitor,Hgt. chk,The monitor item of the Precise Table height movement check potentiometer voltage.,Real,-60.00 cm to +90.00 cm,0.01 cm,cm,Edit Machine Item Part,Precise Table,Not available
i147 - Table rotation check monitor,Column chk,The monitor item of the Precise Table column rotation movement check potentiometer voltage.,Real,-240.00 ° to +240.00 °,0.01 °,Degrees (°),Edit Machine Item Part,Precise Table,Not available
i148 - Gantry control item,Gant ctrl,The gantry movement servo control item.,Analogue word,-186.00 ° to +186.00 °,0.01 °,Degrees (°),"ASU, System Test 1",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7047 - sheet 1
,,,,,,,,Movements [Ref: 6],
i149 - Diaphragm rotation control item,D.rot ctrl,The diaphragm movement servo control item.,Analogue word,-185.00 ° to +185.00 °,0.01 °,Degrees (°),"ASU, System Test 1",Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i150 - Asymmetric diaphragm X1 position control item,X1 ctrl,"X1 diaphragm movement servo control item, asymmetric diaphragms only.",Analogue word,0.00 cm to +20.00 cm,0.01 cm,cm,Edit Machine Item Part,Movements [Ref: 6],4513 330 7035 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
,,,,,,,,Accessories [Ref: 11],
i151 - Asymmetric diaphragm X2 position control item,X2 ctrl,"X2 diaphragm movement servo control item, asymmetric diaphragms only.",Analogue word,0.00 cm to +20.00 cm,0.01 cm,cm,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
,,,,,,,,Accessories [Ref: 11],
i152 - Asymmetric diaphragm Y1 position control item,Y1 ctrl,"Y1 diaphragm movement servo control item, asymmetric diaphragms only.",Analogue word,-12.50 cm to +20.00 cm,0.01 cm,cm,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
,,,,,,,,Accessories [Ref: 11],
i153 - Asymmetric diaphragm Y2 position control item,Y2 ctrl,"Y2 diaphragm movement servo control item, asymmetric diaphragms only.",Analogue word,-12.50 cm to +20.00 cm,0.01 cm,cm,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
,,,,,,,,Accessories [Ref: 11],
i154 - X applicator size control item,ApplX ctrl,"The X applicator size servo control item (for variable applicator, not used).",Analogue word,0.0 cm to +25.0 cm,0.1 cm,cm,Edit Machine Item Part,Accessories [Ref: 11],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i155 - Y applicator size control,ApplY ctrl,"The Y applicator size servo control item (for variable applicator, not used).",Analogue word,0.0 cm to +25.0 cm,0.1 cm,cm,Edit Machine Item Part,Accessories [Ref: 11],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i156 - Table top isocentric rotation control item,T/T ctrl,The Precise Table top isocentric rotation movement servo control item.,Analogue,-135 ° to +135 °,0.01 °,Degrees (°),PSS,Precise Table,Not available
i157 - Table top longitudinal control),Long. ctrl,The Precise Table top longitudinal movement servo control item.,Analogue,0.00 cm to 80.00 cm,0.01 cm,cm,PSS,Precise Table,Ref 14: 4513 330 7063
i158 - Table top lateral movement control,Lat. ctrl,The Precise Table top lateral movement servo control item.,Analogue,-25.00 cm to 25.00 cm,0.01 cm,cm,PSS,Precise Table,Ref 14: 4513 330 7063
i159 - Table top height movement control,Hgt ctrl,The Precise Table top height movement servo control item.,Analogue,0.00 cm to 100.00 cm,0.01 cm,cm,PSS,Precise Table,Not available
i160 - Uniformity,Uniformity,"This item monitors the relative readings of a number of signals from the ion chamber plates. During the set up procedure, each reading is normalized against the first channel.",Real,Not Available,0.1,None,"Beam Monitor, Gun Servo, Steering",Power Supplies and Interlocks [Ref: 5],Not available
,,"If any channel varies by more than 5% while the machine is running, a termination occurs.",,,,,,Dosimetry [Ref: 9],
i161 - Magnetron tuner control item,Tuner ctrl,The magnetron tuner servo control item.,Real,0 to 409.0 turns,12 bits,Turns,"AFC, Beam Control, Gun Servo, LV PSU, Modulator, Plotter",HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 2
i162 - HP phase shifter control item,HP ph.ctrl,The high power phase shifter servo control item.,Analogue,0 to 4095,12 bits,cm,"AFC, Beam Control, Plotter",HT and RF [Ref: 7],Ref 14: 4513 330 7027 - sheet 1
i163 - LP phase shifter control item,LP ph.ctrl,The low power phase shifter servo control item.,Analogue,0 to 4095,12 bits,None,"AFC, Beam Control, Plotter",HT and RF [Ref: 7],Ref 14: Not available
i164 - Flatness 2R servo block,2R I ctrl,The 2R servo control item controls the current required to make the beam symmetrical.,Analogue,-600 mA to +600 mA,1 mA,mA,"Beam Control, LV PSU, Plotter, Steering",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7025 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],
i165 - Flatness 2T servo block,2T I ctrl,The 2T servo control item controls the current required to make the beam symmetrical.,Analogue,-600 mA to +600 mA,1 mA,mA,"Beam Control, LV PSU, Plotter, Steering ",Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 2
i166 - Hump error monitor,Hump Err,The value of this item is the hump error.,Real,150 to +150,12 bits,Nominal %,"Beam Monitor, Gun Servo, Steering",Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,Beam Physics [Ref: 8],
i167 - Dose rate error item,D/rate Err,"The value of this item is the dose rate error between the set dose rate and the actual dose rate (for software electron gun servo, no longer).",Analogue,0 MU/min to 600 MU/min,1 MU/min,MU/min,"Dose Calibration, Reason Items",Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1
i168 - Current handheld controller function,HHC. Func,Selects the item to be controlled by the HHC <FUNCTION> key.,Item number container,"Table demand items, diaphragm rotation demand items, asymmetric diaphragm demand items",Integer,None,Edit Machine Item Part,Movements [Ref: 6],Not available
i169 - Raw calibration value,Cal raw value,This item displays the raw value (Part 111) of the currently selected cal item 1.,Word,0 to 65535,1,None,Calibration,Not available,Not available
,,"Since Part 111 is independent of all calibration, it can be used with confidence in diagnostic and setting up work.",,,,,,,
i170 - Calibration value,Cal.value,This write only item should only be written to when the item currently selected by cal item 1 is required to be written. Any other value or time can lead to unpredictable results. ,Integer,-32767 to +32767,1,None,"ASU, Calibration, System Test 1",Not available,Not available
,,"Different items are calibrated by different mechanisms and require 1 or 2 values to be entered for cal value. If further values are entered subsequently without de-selecting or re-selecting cal item 1, then the results are averaged.",,,,,,,
i171 - Calibration item 1,Cal. item1,This selects the calibration item.,Item number container,"0 to maximum item number, plus NULL",Integer,None,"ASU, Calibration, Steering, System Test 1",Not available,Not available
i172 - Calibration item 2,Cal. item2,"This item allow multiple calibration to occur simultaneously, but these are superseded by the cross calibration of update 5.",Item number container,"0 to maximum item number, plus NULL",Integer,None,Calibration,Not available,Not available
i173 - Calibration item 3,Cal. item3,"This item allow multiple calibration to occur simultaneously, but these are superseded by the cross calibration of update 5.",Item number container,"0 to maximum item number, plus NULL",Integer,None,Not available,Not available,Not available
i174 - Control item,Control item,This item selects the item that is written to by calibration control value i179.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Calibration,Not available,Not available
,,"It should be noted that, if this value is the same as that in cal item 1, then its calibration is changed and care should be taken when drawing conclusions.",,,,,,,
i175 - Calibration status,Cal.status,"This item is not configured, but is intended to show the status of the current calibration.",Boolean,Not Available,Integer,None,Calibration,Not available,Not available
i176 - Calibrated high limit,Limit high,The value of this item is the calibrated high limit of the item selected by cal item 1.,Integer,-32767 to +32767,1,None,Calibration,Not available,Not available
i177 - Calibrated low limit,Limit low,The value of this item is the calibrated low limit of the item selected by cal item 1.,Integer,-32767 to +32767,1,None,Calibration,Not available,Not available
i178 - Learn enable,Learn enable,Sets the current calibration item so that it is ready to learn the calibration coefficient. Used for movements or other composite values such as uniformity errors.,Boolean,Not Available,Integer,None,"ASU, Calibration, Steering, System Test 1",Not available,Not available
i179 - Control value,Control value,The value of this item is that used by calibration control item.,Integer,-32767 to +32767,Integer,None,Calibration,Not available,Not available
i180 - Calibration manual/auto,Cal Man/Auto,This is the manual/auto part of the item currently selected by cal iId1. It is used during calibration routines to:,Boolean,Not Available,Integer,None,Calibration,Not available,Not available
,,1. Override the position limits of the movement servos,,,,,,,
,,2. Override the action of the LV PSU servos,,,,,,,
i181 - Gun servo control,Gun Auto?,This item switches the gun servo control system between auto and manual modes,Boolean,0 Manual 1 Auto,Integer,None,"Beam Control, Gun Servo, LV PSU, AFC, Plotter",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7088 - sheet 2
,,,,,,,,HT and RF [Ref: 7],
,,,,,,,,Beam Physics [Ref: 8],
i182 - Magnetron tuner servo control,Ph. Auto?,This item permits manual control of the magnetron tuner when the HT is Off. See Table J for part values during normal operation.,Boolean,0 Manual 1 Auto. See Table J,Integer,None,"AFC, Beam Control, Gun Servo, LV PSU, Modulator, Plotter",HT and RF [Ref: 7],Not available
,,,,,,,,Beam Physics [Ref: 8],
i183 - 2R servo control,2R Auto?,This item determines whether the 2R current is controlled manually or automatically.,Boolean,0 Manual 1 Auto,Integer,None,"Beam Control, LV PSU, Steering",Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,HT and RF [Ref: 7],
,,,,,,,,Beam Physics [Ref: 8],
i184 - 2T servo control,2T Auto?,This item determines whether the 2T current is controlled manually or automatically.,Boolean,0 Manual 1 Auto,Integer,None,"Beam Control, LV PSU, Steering",HT and RF [Ref: 7],Not available
,,,,,,,,Beam Physics [Ref: 8],
i185 - Light control,Light ctrl,This item monitors a switch on the HHC and toggles a relay in the interface cabinet to control the treatment room lights.,The use of this item is optional.,Boolean,Not Available,Integer,None,Contactors,Not available
i186 - Hump gain,Hump gain,This item controls the loop gain of the hardware system. It is configured for the hardware gun servo option only.,Real,0 to +40.95,0.01,None,"Beam Control, Gun Servo",HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 2
i187 - Dose level,Dose level,This item controls an analog reference voltage used by the hardware gun servo option.,Real,0 to +40.95,0.01,None,"Beam Control, Gun Servo",HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 2
,,The reference voltage is used in electron mode to set the dose rate output of the digital accelerator.,,,,,,,
,,This item is configured for the hardware gun servo option only.,,,,,,,
i188 - Fan fail ,Fan Fail,-,Boolean,Not Available,Integer,None,Edit Machine Item Part,Not available,Not available
i189 - Ion chamber -320 V monitor,-320V Mon,This item monitors the -320 V supply to the ion chamber.,Real,0.0 V to -400.0 V,0.1 V,V,Area Voltages,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7049 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i190 - Inner hump plate monitor,Inner Hump,The monitor item of the inner plate of the ion chamber.,Real,0.00 to +400.0,12 bits,Integer,"Beam Monitor, Steering",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7088 - sheet 2
,,,,,,,,HT and RF [Ref: 7],
,,,,,,,,Beam Physics [Ref: 8],
i191 - Outer hump plate monitor,Outer Hump,The monitor item of the outer plate of the ion chamber.,Real,0.00 to +400.0 ,12 bits,Integer,"Beam Monitor, Steering",HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 2
,,,,,,,,Beam Physics [Ref: 8],
i192 - Monitor 2TB plate,2TB plate,The monitor item of the 2TB plate.,Real,0.00 to +400.0,12 bits,Integer,"Beam Monitor, Steering",Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 2
i193 - Monitor 2TA plate,2TA plate,The monitor item of the 2TA plate.,Real,0.00 to +400.0,12 bits,Integer,"Beam Monitor, Steering",Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 2
i194 - Monitor 2RG plate,2RG plate,The monitor item of the 2RG plate.,Real,0.00 to +400.0,12 bits,Integer,"Beam Monitor, Steering",Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 1
i195 - Monitor 2RT plate,2RT plate,The monitor item of the 2RT plate.,Real,0.00 to +400.0,12 bits,Integer,"Beam Monitor, Steering",Beam Physics [Ref: 6],Ref 14: 4513 330 7025 - sheet 1
i196 - Pressure switch low,Press.sw.L,This item reads the state of the low pressure switch in the return line to the cooling pump and indicates when cooling water pressure is too low.,Boolean,0  Water pressure OK,Integer,None,Modulator,"Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7044 - sheet 1
,,"It warns that the water pressure is less than 0.7 bar (10 psi) and therefore the low pressure switch has opened. At atmospheric pressure, the switch contacts are normally closed.",,1  Water pressure low,,,,,
,,"In response, the TCC issues a warning (inhibit) only.",,,,,,,
i197 - Pressure switch high,Press.sw.H,"This item reads the state of the high pressure switch in the return line to the cooling pump and indicates when cooling water pressure is too high. It warns that the water pressure exceeds 1 bar (15 psi) and therefore the high pressure switch has opened. At atmospheric pressure, the switch contacts are normally closed.",Boolean,0 Water pressure OK,Integer,None,Modulator,"Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7044 - sheet 1
,,"In response, the TCC issues a warning (inhibit) only.",,1 Water pressure high,,,,,
i198 - Water pressure warning,Press.warn,This item warns of a possible impending problem with cooling water pressure.,Boolean,0 Water pressure OK,Integer,None,Edit Machine Item Part,"Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7044 - sheet 1
,,,,1 Impending water pressure problem,,,,,
i199 - Wedge monitor,Wedge code,This item monitors the position of the wedge.,Partial digital word,"0 to 3, see Table K",Integer,None,Mechanisms,Power Supplies and Interlocks [Ref: 5],4513 330 7021 - sheet 1
,,,,,,,,Accessories [Ref: 11],4513 330 7039 - sheet 1
,,,,,,,,,4513 330 7036 - sheet 1
i200 - Target type monitor,Targ. type,This partial digital word indicates the selected target type.,Partial digital word,"0 to 23, see Table L",4 bits,Integer,Mechanisms,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,"The item also encodes the dwell switch (SW4) on the target shift mechanism. If SW4 is incorrectly positioned, a number between 16 and 23 is displayed.",,,,,,Beam Physics [Ref: 8],4513 330 7043 - sheet 1
i201 - Gun hardware control,Gun mode,"This item is configured only as part of the hardware gun servo option, where it controls the enabling of the hardware. The item provides independent control of the X-ray and electron circuits, and of the auto and manual operating conditions. i201 is set by the gun servo software. No operator inputs are required.",Integer,"0 to 3, see Table M",Integer,None,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 2
i202 - X-ray primary collimator monitor,Collim.mon,Indicates whether high energy X-rays have been selected as the energy type.,Partial digital word,"1 or 2, see Table N",2 bits,Integer,Mechanisms,Power Supplies and Interlocks [Ref: 5],Ref: 4513 330 7021 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],4513 330 7040 - sheet 1
i203 - Secondary collimator monitor,Filter mon,This item monitors the position of the secondary collimator.,Partial digital word,"0 to 15, see Table O",4 bits,Integer,Mechanisms,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,Table 2.15 shows the relationship between the collimator filter position and the value of i203.,,,,,,Accessories [Ref: 11],4513 330 7042 - sheet 1
i204 - Applicator present,Appl pres,This item indicates whether an applicator is present at the beam limiting device.,Analogue,0 to +127,8 bits,Integer,FKP,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,,4513 330 7036 - sheet 1
i205 - Beam limiting device touchguard monitor,Touchguard,This item monitors the state of the beam limiting device touchguard.,Boolean,Not Available,Integer,None,PSS,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7053 - sheet 2
i206 - HT Interlock RHA,I/lck RHA,One of two items that monitor the condition of the HT Interlock chain.,Boolean,Not Available,Integer,None,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7054 - sheet 1
,,,,,,,,Power Supplies and Interlocks [Ref: 5],
i207 - HT Interlock RHB,I/lck RHB,One of two items that monitor the condition of the HT Interlock chain.,Boolean,Not Available,Integer,None,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7054 - sheet 1
,,,,,,,,Power Supplies and Interlocks [Ref: 5],
i208 - HT Interlock HTA,I/lck HTA,This monitors the condition of the HT Interlock chain.,Boolean,Not Available,Integer,None,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7053 - sheet 2
,,,,,,,,Power Supplies and Interlocks [Ref: 5],
i209 - HT Interlock HTB,I/lck HTB,This monitors the condition of the HT Interlock chain.,Boolean,Not Available,Integer,None,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7054 - sheet 1
,,,,,,,,Power Supplies and Interlocks [Ref: 5],
i210 - HT Interlock RHB2,I/lck RHB2,One of two items that monitor the condition of the HT Interlock chain.,Boolean,Not Available,Integer,None,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7054 - sheet 1
,,,,,,,,Power Supplies and Interlocks [Ref: 5],
i211 - HT Interlock RHA2,I/lck RHA2,One of two items that monitor the condition of the HT Interlock chain.,Boolean,Not Available,Integer,None,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7054 - sheet 1
,,,,,,,,Power Supplies and Interlocks [Ref: 5],
i212 - Magnetron filament voltage monitor,M.fil Vmon,The value of this item is the monitored voltage across the magnetron filament.,Analogue,0 to +15V,12 bits,V,"Beam Monitor, Modulator",HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 1
i213 - Magnetron filament current monitor,M.fil Imon,The value of this item is the current through the magnetron filament.,Analogue,0.00 A to 14.00 A,0.01 A,A,Modulator,HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 1
i214 - Magnetron magnet voltage monitor,M.mag.Vmon,This item monitors the magnetron magnet voltage. It is obtained from the rectifier and smoothing circuit in the LV PSU via LV PSU control PCB 13D and the SCC-RHB and AI12-RHB PCBs in the RHCA.,Analogue,0.00 V to 50.00 V,0.01 V,V,"LV PSU, System Test 1",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7028 - sheet 1
,,,,,,,,HT and RF [Ref: 7],
i215 - Contactor CON-H monitor,LT con H,This item monitors auxiliary contacts on LT soft-start contactor CON-H to determine whether the three-phase mains supply is applied to the LT system.,Boolean,0 = CON-H Off,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,1 = CON-H On,,,,,4513 330 7052 - sheet 1
i216 - Monitor gun volts,Gun V mon,The value of this item is the monitored voltage of the electron gun.,Analogue,0.00 V to 10.00 V,0.01 V,V,"Beam Monitor, Gun Servo",HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 2
i217 - Monitor gun current,Gun I mon,The value of this item is the monitored current of the electron gun.,Analogue,0.00 A to 10.00 A,0.01 A,A,"Beam Monitor, Gun Servo",HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 2
i218 - Not used,Not used,Not available.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i219 - RF load over temperature,RF Load OT,Monitor of the temperature switch fitted to the RF load.,Boolean,Not Available,Integer,None,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7045 - sheet 1
i220 - Thyratron grid monitor,Thy. Grid,This item monitors the voltage of thyratron grid G1.,Analogue,0 to 1200,12 bits,A,Modulator,HT and RF [Ref: 7],Ref 14: 4513 330 7084
,,,,,,,,,4513 330 7045
i221 - Monitor centering 2R,2R I mon,The value of this item is the current through the 2R centering coil.,Analogue,0 to +1.5A,12 bits,mA,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 1
i222 - Monitor centering 2T,2T I mon,The value of this item is the current through the 2T centering coil.,Analogue,0 to +1.5A,12 bits,mA,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 2
i223 - Water temperature,Water temp,This item is the temperature readout from the temperature probe mounted in a brass distribution block near the outlet of the heat exchanger. The readout is normally used as the sensor for the water control servo loop (i278). It switches Off the LT if the temperature exceeds 35°C or is less than 10°C.,Analogue,0.00 °C to +100.00 °C,0.01 °C,°C,"Beam Monitor, Modulator, Reason Items,","Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7084
,,,,,,, System Test 1,HT and RF [Ref: 7],
,,,,,,,,Beam Physics [Ref: 8],
i224 - Ion chamber temperature probe 1,Dos.temp 1,"This item monitors ion chamber temperature probe 1, if fitted as part of the dose compensation option.",Analogue,-273.00 °C to +127.00 °C,0.01 °C,°C,Dose Calibration,Dosimetry [Ref: 9],Ref 14: 4513 330 7045 - sheet 1
,,The item is part of the dual temperature monitoring system. It should be calibrated in °C and is only configured as part of the dose compensation option.,,,,,,,
i225 - Monitor RF system temperature 3,W/gde temp,Temperature readout from the waveguide probe selected by Temp_probe_select relay (i432). The center joint probe is normally selected (i432 = 0) due to ease of access for servicing.,Analogue,0.00 °C to +100.00 °C,0.01 °C,°C,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7045 - sheet 1
i226 - Ion chamber temperature probe 2,Dos.temp 2,"This item monitors ion chamber temperature probe 2, if fitted as part of the dose compensation option. The item is part of the dual temperature monitoring system.",Analogue,-273.00 °C to +127.00 °C,0.01 °C,°C,Dose Calibration,Dosimetry [Ref: 9],Ref 14: 4513 330 7045 - sheet 1
,,It should be calibrated in °C and is only configured as part of the dose compensation option.,,,,,,,
i227 - Gun vacuum,Vac Gun,This item displays the vacuum pressure at the gun end of the waveguide.,Analogue,-3.00 to -7.00,0.01,"The value is the exponent to base 10 of the vacuum reading in mbar, e.g. a value of -5.70 = 2 x 10 E -6 mbar","AFC, Beam Monitor, Gun Servo, Plotter, Steering","Cooling, Gas and Vacuum  [Ref: 4]",Ref 14: 4513 330 7020 - sheet 1
,,,,,,,,HT and RF [Ref: 7],4513 330 7088 - sheet 2
i228 - Target vacuum,Vac Targ,This item displays the vacuum pressure at the target end of the waveguide.,Analogue,-3.00 to -7.00,0.01,"The value is the exponent to base 10 of the vacuum reading in mbar, e.g. a value of -5.70 = 2 x 10 E -6 mbar","AFC, Beam Monitor,","Cooling, Gas and Vacuum  [Ref: 4]",Ref 14: 4513 330 7020 - sheet 1
,,,,,,,"Gun Servo, Plotter, Steering",HT and RF [Ref: 7],
i229 - Monitor HP phase shift position,HP ph.posn,This item shows the monitored position of the high power phase shifter.,Analogue,0.00 to 360.00 °,0.01 °,Degrees (°),"AFC, LV PSU, System Test 1",HT and RF [Ref: 7],Ref 14: 4513 330 7027 - sheet 1
i230 - Monitor LP phase shift position,LP ph.posn,This item sets the position of the low power phase shifter of the AFC system.,Analogue,0.00 ° to +360.00 °,0.01 °,Degrees (°),"AFC, LV PSU, System Test 1",HT and RF [Ref: 7],Not available
i231 - Monitor magnetron tuner position,Tuner posn,The value of this item is the monitored position of the magnetron tuner represented by the current through the tuner solenoid.,Analogue,0.0 to 400.0 turns,0.1 turn,Turns,"AFC, Beam Monitor",HT and RF [Ref: 7],Not available
i232 - Monitor phase leg 1,Phase leg1,This item is the signal from phase leg 1 of the AFC system.,Analogue,0.00 to 34.00,0.01,None,"AFC, Beam Monitor",HT and RF [Ref: 7],Not available
i233 - Monitor phase leg 2,Phase leg2,This item is the signal from phase leg 2 of the AFC system.,Analogue,0.00 to 150.00,12 bits,Integer,"AFC, Beam Monitor",HT and RF [Ref: 7],Not available
i234 - Monitor slits leg 1,Slit high,This item is not used when the digital accelerator is fitted with a slitless flight tube and hardware gun servo.,Analogue,0.00 to 150.00,12 bits ,Integer,Only appears on the Gun Servo service page for digital accelerators fitted with a slitted flight tube,Beam Physics [Ref: 8],Not available
i235 - Monitor slits leg 2,Slit low,This item is not used when the digital accelerator is fitted with a slitless flight tube and hardware gun servo.,Analogue,0.00 to 150.00,12 bits ,Integer,Only appears on the Gun Servo service page for digital accelerators fitted with a slitted flight tube,Beam Physics [Ref: 8],Not available
i236 - Monitor phase composite,Comp phase,This item is the composite phase signal from the AFC system.,Analogue,-10.00 to +10.00,0.01,Integer,"AFC, Beam Monitor",HT and RF [Ref: 7],Not available
i237 - Hump balance,Hump Bal,This item controls the balance of the hump error detection system.,Real,0.00 to 40.95,0.01,None,"Beam Control, Steering",Beam Physics [Ref: 8],Not available
i238 - Gun 10-4 vacuum trip,10-4 trp G,The 10-4 vacuum trip signal from the gun end of the waveguide system.,Boolean,0 Gun 10-4 vacuum not tripped,Integer,None,Edit Machine Item Part,"Cooling, Gas and Vacuum  [Ref: 4]",Ref 14: 4513 330 7020 - sheet 1
,,,,1 Gun 10-4 vacuum tripped,,,,HT and RF [Ref: 7] ,4513 330 7088 - sheet 2
,,,,,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7021 - sheet 1
i239 - Target 10-4 vacuum trip,10-4 trp T,The 10-4 vacuum trip signal from the target end of the waveguide system.,Boolean,0 Target 10-4 vacuum not tripped,Integer,None,Edit Machine Item Part,"Cooling, Gas and Vacuum  [Ref: 4]",Ref 14: 4513 330 7020 - sheet 1
,,,,1 Target 10-4 vacuum tripped,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7021 - sheet 1
i240 - Gun 10-5 vacuum trip,10-5 trp G,The 10-5 vacuum trip signal from the gun end of the waveguide system.,Boolean,0 Gun 10-5 vacuum not tripped,Integer,None,Edit Machine Item Part,"Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7020 - sheet 1
,,,,1 Gun 10-5 vacuum tripped,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7021 - sheet 1
i241 - Target 10-5 vacuum trip,10-5 trp T,The 10-5 vacuum trip signal from the target end of the waveguide system.,Boolean,0 Target 10-5 vacuum not tripped,Integer,None,Edit Machine Item Part,"Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7020 - sheet 1
,,,,1  Target 10-5 vacuum tripped,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7021 - sheet 1
i242 - Laser control,Laser ctrl,This item monitors a switch on the HHC and toggles relays to control the operation of the treatment room lasers and the back pointer of the digital accelerator. The lasers and back pointer are optional devices.,Boolean,0 Switch not pressed,Integer,None,Contactors,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7038 - sheet 3
,,,,1 Switch pressed,,,,,
i243 - Gas pressure,Gas press,This item indicates low dielectric gas pressure in the rectangular section of the waveguide.,Boolean,0 Gas pressure OK,Integer,None,Contactors,"Cooling, Gas and Vacuum ",Ref 14: 4513 330 7021 - sheet 1
,,"The gas system is normally re-pressurized at power up, but can be replenished by switching on the top-up valve (i336) at any time.",,1 Gas pressure low,,,,[Ref: 4],4513 330 7046 - sheet 1
,,,,,,,,Power Supplies and Interlocks [Ref: 5],
i244 - HT current monitor,HT I mon,The value of this item is the HT current used by the magnetron filament rundown.,Integer,-8000 to +1000,1,None,Modulator,HT and RF [Ref: 7],Ref 14: 4513 330 7088 - sheet 1
i245 - ICCA RTU A PLD state,ICA state,A view state item that monitors the feedback of the PLDs on the DIE PCBs in RTU A of the ICCA.,Integer,See Table P,Integer,None,Area Status,System Communications [Ref: 2],Not available
i246 - ICCA RTU B PLD state,ICB state,A view state item that monitors the feedback of the PLDs on the DIE PCBs in RTU B of the ICCA.,Integer,See Table P,Integer,None,Area Status,System Communications [Ref: 2],Not available
